Feature ID,기능명,평면,현재 위치,사용자,Domain,EOS Ownership,EOS 대상,상태,플래그,결합도,테스트,Migration Action,매트릭스 판정,출시 우선도(제안),우선도 근거,선행 제안(v2.0),Migration Risk,A과목,B DB,C결합,D테스트,E상태,F데이터,총점,LOC,엔드포인트,쓰기EP,Adapter 의존,Mixed 의존,DB모델수,테스트fn,§3.4 KEEP충족(/6),§3.4 REPLACE신호(/6),§3.4 기준판정,판정 근거,근거
WM-S-011,내 진단 이력·완료·삭제,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/assessments, PATCH /v1/me/assessments/{assessment_id}/complete, DELETE /v1/me/assessments/{assessment_id}",Student,Assessment,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,1,1,1,0,1,1,5,0,3,2,,schema.enums,1,239,6,0,KEEP,§3.4 KEEP 6/6 충족,E4 진단 이력
WM-S-012,평가 조립(청사진)·측정 캡처,서빙 표면,"src/backend/whymath_backend/api/me.py :: POST /v1/me/assessments/capture, POST /v1/me/assessments/assemble",Student,Assessment,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,1,1,0,1,1,4,0,2,2,,,1,194,6,0,KEEP,§3.4 KEEP 6/6 충족,계획서 300 Gate2 ②진단 — ASM-03/04
WM-S-013,내 코치 대화 이력·종료·삭제,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/dialogues, PATCH /v1/me/dialogues/{dialogue_id}/end, DELETE /v1/me/dialogues/{dialogue_id}",Student,Pedagogy,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,1,1,1,0,1,1,5,0,3,2,,schema.enums,1,219,6,0,KEEP,§3.4 KEEP 6/6 충족,E3 대화 이력 — GDPR 삭제 포함
WM-S-014,내 개인정보 감사 이력 조회(삭제·접근),서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/deletions, GET /v1/me/privacy-audit",Student,Security,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,1,1,0,0,1,3,0,2,0,,,1,223,6,0,KEEP,§3.4 KEEP 6/6 충족,SEC-09 감사 4종 — 학생 열람권
WM-S-015,풀이 채점 제출(attempt 적재+숙달 갱신),서빙 표면,src/backend/whymath_backend/api/me.py :: POST /v1/me/attempts,Student,Learning Model,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,1,1,0,1,1,4,0,1,1,,,1,217,6,0,KEEP,§3.4 KEEP 6/6 충족,E3 AttemptEvent — 폐쇄루프 서버 뒷반쪽(EOS-81)
WM-S-016,개념·스킬 숙달 곡선 조회,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/mastery, GET /v1/me/skill-mastery, GET /v1/me/mastery/current",Student,Learning Model,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,1,1,0,0,2,4,0,3,0,,,2,217,6,0,KEEP,§3.4 KEEP 6/6 충족,E4 mastery 조회 — G2 ⑧
WM-S-017,IRT 능력(θ) 추정·스냅샷·성장 곡선,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/ability, POST /v1/me/ability/snapshots, GET /v1/me/ability/snapshots, GET /v1/me/ability/by-concept, GET /v1/me/ability/history",Student,Learning Model,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 P0 → 강등: 폐쇄루프 미도달(우회 가능),P0,Med,0,2,1,0,1,2,6,0,5,1,,,3,236,6,0,KEEP,§3.4 KEEP 6/6 충족,E4 — θ 추정·시계열
WM-S-018,개념 진단(BKT↔IRT 교차검증)·요약,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/diagnosis/concepts, GET /v1/me/diagnosis/summary",Student,Assessment,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,0,0,0,0,0,0,0,2,0,,,0,218,6,0,KEEP,§3.4 KEEP 6/6 충족,계획서 300 Gate2 ②진단 완료
WM-S-019,약개념 추천·복습 우선순위 큐,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/weak-concepts, GET /v1/me/review-queue",Student,Recommendation,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,0,0,0,0,0,0,0,2,0,,,0,56,6,0,KEEP,§3.4 KEEP 6/6 충족,Gate2 ④ Concept 자동 선택
WM-S-020,선수개념 갭·학습 경로·개념 코칭 결정,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/weak-concepts/{concept_id}/prerequisites, GET /v1/me/weak-concepts/{concept_id}/coaching, GET /v1/me/weak-concepts/{concept_id}/learning-path",Student,Recommendation,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,0,1,0,0,0,1,0,3,0,,,0,52,6,0,KEEP,§3.4 KEEP 6/6 충족,Gate2 ④·⑨ — 선수 traversal·위상정렬
WM-S-021,적응형 다음 문항 추천(IRT CAT),서빙 표면,src/backend/whymath_backend/api/me.py :: GET /v1/me/next-problem,Student,Recommendation,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,1,1,1,0,0,1,4,0,1,0,,schema.enums,1,221,6,0,KEEP,§3.4 KEEP 6/6 충족,Gate2 ⑨ 다음 학습 자동 추천 — REC-03 회계
WM-S-022,목표 진행 상황(D-day·성취기준 커버리지),서빙 표면,src/backend/whymath_backend/api/me.py :: GET /v1/me/target-progress,Student,Learning Model,CORE,EOS Core,Production,,Low,Partial,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,0,0,0,1,0,0,1,0,1,0,,,0,5,6,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),수능 목표 축 — 12월 검증 비관여
WM-S-023,계정 삭제권·데이터 이동권(내보내기),서빙 표면,"src/backend/whymath_backend/api/me.py :: DELETE /v1/me, GET /v1/me/export",Student,Security,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: invariant,P0,Low,0,0,1,0,1,0,2,0,2,1,,,0,490,6,0,KEEP,§3.4 KEEP 6/6 충족,R11 삭제권·열람권 — 미성년 PII 불변 계약
WM-S-024,성장 증거 노출(학생 안전)·대리지표 원시값(admin),서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/growth-evidence, GET /v1/me/harness-metrics",Student,Pedagogy,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,0,1,0,0,0,1,0,2,0,,,0,127,6,0,KEEP,§3.4 KEEP 6/6 충족,PED-06/08 노출 계약 — 반게임화 축
WM-S-025,학습시간 통계,서빙 표면,src/backend/whymath_backend/api/me.py :: GET /v1/me/learning-metrics,Student,Analytics,CORE,EOS Core,Production,,Low,Partial,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,1,0,2,0,1,4,0,1,0,,,1,2,6,0,KEEP,§3.4 KEEP 6/6 충족,COLLAB-03 롤업의 조회 표면
WM-S-026,학습목표 맞춤 학습 단위 공급·결과 기록,서빙 표면,"src/backend/whymath_backend/api/study.py :: POST /v1/me/objectives/{objective_id}/study, POST /v1/me/objectives/{objective_id}/outcome",Student,Pedagogy,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,1,0,1,0,1,0,3,0,2,2,,schema.enums,0,18,6,0,KEEP,§3.4 KEEP 6/6 충족,E1 학습 공급·교수법 처치(MOB-13)
WM-S-027,교수학 통합 결정(stateless 코치),서빙 표면,src/backend/whymath_backend/api/coach.py :: POST /v1/coach,Student,Pedagogy,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 P0 → 강등: 폐쇄루프 미도달(우회 가능),P0,Low,0,0,0,0,1,0,1,0,1,1,,,0,441,6,0,KEEP,§3.4 KEEP 6/6 충족,E2·C7 코칭 결정 표면
WM-S-028,코치 대화 세션(생성·턴 추가·조회),서빙 표면,"src/backend/whymath_backend/api/coach.py :: POST /v1/coach/sessions, POST /v1/coach/sessions/{dialogue_id}/turns, GET /v1/coach/sessions/{dialogue_id}",Student,Pedagogy,CORE,EOS Core,Production,,Med,Full,KEEP,REFACTOR,P0,폐쇄루프: seed_route,P0,Med,1,1,2,0,1,1,6,0,3,2,,schema.enums,1,411,5,0,KEEP,§3.4 KEEP 5/6 충족,E2 — 채점 연동 코칭·S3-32 완료 경로(attempt 생산자)
WM-S-029,결정론 채점 3종(단계·풀이·답 검산),서빙 표면,"src/backend/whymath_backend/api/verify.py :: POST /v1/verify-step, POST /v1/verify-solution, POST /v1/verify-answer",Student,Math Engine,CORE+ADAPTER_DEP,EOS Core (Adapter 의존 → SubjectAdapter 경유 절단),Production,,Low,Full,KEEP,REFACTOR,P0,폐쇄루프: seed_route,P0,Med,3,0,1,0,2,0,6,0,3,3,l3.verify_answer;l3.verify_solution;l3.verify_step,api.verify,0,40,5,1,KEEP,§3.4 KEEP 5/6 충족,D1·E2 — SymPy 단일 권위 서빙 표면
WM-S-030,문제 조회(공개 투영·단계·관계),서빙 표면,"src/backend/whymath_backend/api/problems.py :: GET /v1/problems, GET /v1/problems/{problem_id}, GET /v1/problems/{problem_id}/steps, GET /v1/problems/{problem_id}/relations",Student,Content,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,1,1,1,0,0,1,4,0,4,0,,schema.enums;schema.problem,1,150,6,0,KEEP,§3.4 KEEP 6/6 충족,B7 문제 DB 서빙 — 정답 유도 필드 제외 투영
WM-S-031,문제 저작 CRUD,서빙 표면,"src/backend/whymath_backend/api/problems.py :: POST /v1/problems, PATCH /v1/problems/{problem_id}, DELETE /v1/problems/{problem_id}",Admin,Content,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,1,1,1,0,2,1,6,0,3,3,,schema.problem,1,150,6,1,KEEP,§3.4 KEEP 6/6 충족,B7 — 운영자 저작 표면
WM-S-032,검증 풀이 경로 단계 점층 공개,서빙 표면,src/backend/whymath_backend/api/solution_paths.py :: GET /v1/solution-paths/{solution_path_id}/steps,Student,Content,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,0,0,0,0,0,0,0,1,0,,,0,23,6,0,KEEP,§3.4 KEEP 6/6 충족,C5 단계별 풀이
WM-S-033,개념 그래프 조회(목록·단건·엣지),서빙 표면,"src/backend/whymath_backend/api/concepts.py :: GET /v1/concepts, GET /v1/concepts/{concept_id}, GET /v1/concepts/{concept_id}/edges",Student,Knowledge Graph,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,1,0,0,0,1,2,0,3,0,,,1,80,6,0,KEEP,§3.4 KEEP 6/6 충족,B4 개념 DB 조회
WM-S-034,개념 의미검색(pgvector),서빙 표면,src/backend/whymath_backend/api/concepts.py :: GET /v1/concepts/search,Student,Knowledge Graph,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,0,0,0,0,0,0,0,1,0,,,0,28,6,0,KEEP,§3.4 KEEP 6/6 충족,원자 검색 좌석 — S0-4a
WM-S-035,개념 콘텐츠(정의·비유·예시) 조회,서빙 표면,src/backend/whymath_backend/api/concepts.py :: GET /v1/concepts/content,Student,Content,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,1,0,0,0,1,2,0,1,0,,,1,41,6,0,KEEP,§3.4 KEEP 6/6 충족,Gate2 ⑤ Content→Problem 연결
WM-S-036,개념 노드 저작 CRUD,서빙 표면,"src/backend/whymath_backend/api/concepts.py :: POST /v1/concepts, PATCH /v1/concepts/{concept_id}, DELETE /v1/concepts/{concept_id}",Admin,Knowledge Graph,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,0,1,1,0,2,1,5,0,3,3,,,1,80,6,1,KEEP,§3.4 KEEP 6/6 충족,B4 — 운영자 저작 표면
WM-S-037,교육과정 프레임워크·버전·노드 조회,서빙 표면,"src/backend/whymath_backend/api/curricula.py :: GET /v1/curricula, GET /v1/curricula/{framework_id}, GET /v1/curricula/{framework_id}/nodes",Admin,Curriculum,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 P0 → 강등: 폐쇄루프 미도달(우회 가능),P0,Med,0,2,1,0,0,2,5,0,3,0,,,3,22,6,0,KEEP,§3.4 KEEP 6/6 충족,B1 — CUR-10/11 과목 중립 API
WM-S-038,성취기준(학습 성과) 단건 조회,서빙 표면,src/backend/whymath_backend/api/curricula.py :: GET /v1/learning-outcomes/{norm_id},Admin,Curriculum,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 P0 → 강등: 폐쇄루프 미도달(우회 가능),P0,Low,0,1,0,0,0,1,2,0,1,0,,,1,22,6,0,KEEP,§3.4 KEEP 6/6 충족,B1 성취기준 895
WM-S-039,개념↔성취기준 정렬 통합 조회,서빙 표면,src/backend/whymath_backend/api/alignments.py :: GET /v1/alignments,Admin,Curriculum,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 P0 → 강등: 폐쇄루프 미도달(우회 가능),P0,Low,0,0,0,0,0,0,0,0,1,0,,,0,31,6,0,KEEP,§3.4 KEEP 6/6 충족,B2·F1 앵커 매핑 조회
WM-S-040,권리(저작권) 판정 게이트웨이,서빙 표면,"src/backend/whymath_backend/api/rights.py :: POST /v1/rights/check, POST /v1/rights/batch-check, GET /v1/rights/{content_type}/{content_id}",Platform,Content,CORE,EOS Core,Production,,Low,None,REFACTOR,REFACTOR,P0,폐쇄루프: invariant,P0,Med,1,0,1,3,1,0,6,0,3,2,,schema.enums,0,0,4,1,REFACTOR,"§3.4 KEEP 4/6 — 미충족 k3_tests_exist, k6_verified",A4·G1~G6 저작권 레일(LIC-01) — 전용 테스트 0건은 v1이 검출
WM-S-041,L6 응용 모드 게이팅 6종(재수·수능·학교진도·사고력·메타인지·영재),서빙 표면,"src/backend/whymath_backend/api/gating.py :: GET /v1/gating/retake, GET /v1/gating/suneung, GET /v1/gating/school-progress, GET /v1/gating/thinking, GET /v1/gating/metacognition, GET /v1/gating/gifted",Student,Application Mode,CORE,EOS Core,Production,,Low,Full,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,1,0,1,0,0,0,2,0,6,0,,schema.enums;schema.problem,0,132,6,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),L6 모드는 12월 검증 밖(v1 동일 판정)
WM-S-042,약점 개념 맞춤 시각화 생성,서빙 표면,src/backend/whymath_backend/api/visualization.py :: POST /v1/visualizations/weak-concept,Student,Interaction,CORE,EOS Core,Production,,Low,Partial,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,0,0,1,1,1,0,3,0,1,1,,,0,8,6,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),시각화 축 — 검증설계서 대응 없음
WM-S-043,시각화 명세 검증·공유 링크,서빙 표면,"src/backend/whymath_backend/api/visualization.py :: POST /v1/visualizations/spec, GET /v1/visualizations/spec",Student,Interaction,CORE,EOS Core,Production,,Low,Partial,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,1,0,0,1,1,0,3,0,2,1,,schema.enums,0,8,6,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),Graph2dSpec 라운드트립
WM-S-044,약점 개념 맞춤 학습 장면 생성,서빙 표면,src/backend/whymath_backend/api/scene.py :: POST /v1/scenes/weak-concept,Student,Interaction,CORE,EOS Core,Production,,Low,Full,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,0,0,1,0,1,0,2,0,1,1,,,0,11,6,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),LearningScene DSL
WM-S-045,시각화 조작 이벤트 적재,서빙 표면,src/backend/whymath_backend/api/interactions.py :: POST /v1/interactions,Student,Event,CORE,EOS Core,Production,,Low,Partial,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,1,1,1,1,1,1,6,0,1,1,,schema.enums,1,6,6,0,KEEP,§3.4 KEEP 6/6 충족,L2 행동 분석 입력 — E3 계열
WM-S-046,손글씨 풀이 OCR(단일·다중 페이지),서빙 표면,"src/backend/whymath_backend/api/ocr.py :: POST /v1/ocr, POST /v1/ocr/pages",Student,Math Engine,CORE+ADAPTER_DEP,EOS Core (Adapter 의존 → SubjectAdapter 경유 절단),Flag-off,ocr_enabled=False,Low,Full,POSTPONE,KEEP,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Low,3,0,0,0,1,0,4,0,2,2,l5.ocr.pipeline,schema.ocr;api.ocr,0,117,4,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),E1은 MathLive 입력이지 OCR 아님(검증설계서 §2)
WM-S-047,수식 한국어 낭독 명세 생성,서빙 표면,src/backend/whymath_backend/api/speech.py :: POST /v1/speech/latex,Student,Math Engine,CORE+ADAPTER_DEP,EOS Core (Adapter 의존 → SubjectAdapter 경유 절단),Production,,Low,Partial,POSTPONE,REFACTOR,P2,선행 제안 승계(P2) — 폐쇄루프 미도달,P2,Med,3,0,1,1,1,0,6,0,1,1,l3.speech,l4.speech;schema.speech;api.speech,0,5,5,0,POSTPONE,P2(12월 폐쇄루프 비관여 — 이월≠삭제),접근성 축
WM-S-048,DSL 콘텐츠 생성·검증·컴파일,서빙 표면,"src/backend/whymath_backend/api/dsl.py :: POST /v1/dsl/generate, POST /v1/dsl/validate, POST /v1/dsl/compile",Admin,Content,CORE,EOS Core,Production,,Low,Partial,KEEP,REFACTOR,P0,폐쇄루프: seed_route,P0,Med,1,0,1,1,2,0,5,0,3,3,,l3.dsl.models;l3.dsl.variable_engine,0,8,6,1,KEEP,§3.4 KEEP 6/6 충족,C2 DSL 생성기 표면
WM-S-049,학생 결함 신고 접수,서빙 표면,src/backend/whymath_backend/api/reports.py :: POST /v1/reports/defects,Student,QA,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,1,0,0,1,1,3,0,1,1,,,1,33,6,0,KEEP,§3.4 KEEP 6/6 충족,RPT-01 — 무인증 append-only
WM-E-101,원자 백본 그래프 적재·검색·중복 검수,백엔드 엔진,"src/backend/whymath_backend/l1/atom_graph, src/data-pipeline/data_pipeline/atom_graph",Platform,Knowledge Graph,CORE,EOS Core,Production,,Med,Full,KEEP,REFACTOR,P0,"폐쇄루프: student_loop, data_supplier",P0,Med,1,2,2,0,1,2,8,4005,0,0,,schema.enums,3,359,5,0,KEEP,§3.4 KEEP 5/6 충족,"B3 선수 그래프 2,683노드·2,210엣지"
WM-E-102,구 개념그래프 적재·임베딩·검색,백엔드 엔진,"src/backend/whymath_backend/api, src/backend/whymath_backend/l1/concept_graph, src/data-pipeline/data_pipeline/concept_graph",Platform,Knowledge Graph,CORE,EOS Core,Production,,Med,Full,HEAVY_REFACTOR,HEAVY_REFACTOR,P0,"폐쇄루프: student_loop, production_loop, data_supplier",P1,High,1,2,2,0,3,2,10,5359,0,0,,schema.enums,3,403,5,2,KEEP,매트릭스 10점(10~13),B4 개념 437 — 원자 축 이전(S0-2·ARCH-13) 후 보조 좌석 — 동일 기능 중복
WM-E-103,개념↔원자 크로스워크 이전,백엔드 엔진,"src/backend/whymath_backend/l1/concept_atom_crosswalk, src/data-pipeline/data_pipeline/concept_atom_crosswalk",Platform,Knowledge Graph,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P0,"폐쇄루프: production_loop, data_supplier",P1,Med,0,1,1,0,2,2,6,1275,0,0,,,2,138,6,1,KEEP,§3.4 KEEP 6/6 충족,S0-2 437키 자산 이전
WM-E-104,개념 콘텐츠 4종 적재·해석,백엔드 엔진,"src/backend/whymath_backend/l1/concept_content, src/data-pipeline/data_pipeline/concept_content, src/data-pipeline/data_pipeline/concept_content_university",Platform,Content,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,"폐쇄루프: student_loop, data_supplier",P0,Low,0,1,0,0,1,1,3,1224,0,0,,,1,71,6,0,KEEP,§3.4 KEEP 6/6 충족,Gate2 ⑤ — 정의·비유·예시·직관
WM-E-105,교육과정 프레임워크 로더·해석,백엔드 엔진,src/backend/whymath_backend/l1/curriculum,Platform,Curriculum,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,"폐쇄루프: student_loop, data_supplier",P0,Low,1,1,1,0,0,1,4,680,0,0,,schema.enums,1,85,6,0,KEEP,§3.4 KEEP 6/6 충족,B1 — CUR-10
WM-E-106,성취기준·평가기준 적재·정렬 질의·앵커 레지스트리,백엔드 엔진,"src/backend/whymath_backend/l1/standards, src/data-pipeline/data_pipeline/ncic, src/data-pipeline/data_pipeline/standards_university",Platform,Curriculum,CORE,EOS Core,Production,,Med,Full,HEAVY_REFACTOR,HEAVY_REFACTOR,P0,"폐쇄루프: student_loop, production_loop, data_supplier",P0,High,0,3,2,0,3,3,11,5387,0,0,,,6,366,5,1,KEEP,매트릭스 11점(10~13),B1·F1 앵커 성취기준 코드셋
WM-E-107,오개념 카탈로그·크로스링크 적재·승인 게이트,백엔드 엔진,"src/backend/whymath_backend/l1/misconception, src/data-pipeline/data_pipeline/misconception",Platform,Pedagogy,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P0,"폐쇄루프: student_loop, production_loop, data_supplier",P0,Med,0,2,1,0,1,3,7,1554,0,0,,,4,131,6,0,KEEP,§3.4 KEEP 6/6 충족,B6 오개념 843 + 게이트 계약 동결
